group,routeHash,routePreview,firstEdge,lastEdge,edgeCount,vehicleCount,meanPredDuration,meanTruthDuration,bias,MAE,RMSE,medianAbsError,p90AbsError,p95AbsError,maxAbsError,underCount,overCount,underCliffCount,overCliffCount,underNearCliffCount,overNearCliffCount,severeAbsErrorGt1000Count,topAbsErrorVehicleID,topAbsErrorPredDuration,topAbsErrorTruthDuration,topAbsErrorSignedError,departMin,departMax,exposedModifiedSignals,modifiedSignalExposureRate
free_all,160fb44579b4,-E5 -> -E13 -> E12 -> -E11 -> -E18,-E5,-E18,5,50,193.0,199.58,-6.58,6.58,14.024977718342372,5.0,6.0,7.0,93.0,50,0,0,0,0,0,0,free_all_veh_001619,150.0,243.0,-93.0,0.0,10000.0,J17;J21;J22,1.0
free_all,3b4ce934fe24,E17 -> E11 -> -E12 -> -E14,E17,-E14,4,50,176.8,183.16,-6.36,6.36,13.957077057894322,5.0,6.0,6.0,93.0,50,0,0,0,0,0,0,free_all_veh_000163,135.0,228.0,-93.0,0.0,10000.0,J17;J21,1.0
free_all,1018953d2ddc,-E3 -> -E0 -> E2,-E3,E2,3,50,113.0,115.86,-2.86,6.3,13.048371545905642,5.0,6.0,6.0,86.0,49,1,0,0,0,0,0,free_all_veh_000970,158.0,72.0,86.0,0.0,10000.0,J22,1.0
free_all,4130f8916f02,E18 -> E11 -> -E12 -> E13 -> E5,E18,E5,5,50,159.04,165.2,-6.16,6.16,6.248199740725323,6.0,8.0,8.0,9.0,50,0,0,0,0,0,0,free_all_veh_000488,131.0,140.0,-9.0,0.0,10000.0,J17;J21;J22,1.0
free_all,a8e523103c04,-E3 -> -E0 -> -E13 -> -E14,-E3,-E14,4,50,128.72,134.84,-6.12,6.12,13.889564428015731,4.5,6.0,7.0,93.0,50,0,0,0,0,0,0,free_all_veh_000193,84.0,177.0,-93.0,0.0,10000.0,J21;J22,1.0
free_all,11815a0a0294,E10 -> -E11 -> -E17,E10,-E17,3,50,85.26,91.28,-6.02,6.02,14.25833089811006,4.0,6.0,8.0,96.0,50,0,0,0,0,0,0,free_all_veh_001484,42.0,138.0,-96.0,0.0,10000.0,J17,1.0
free_all,1acb8cba4d57,-E2 -> -E13 -> E12 -> -E11 -> -E17,-E2,-E17,5,50,151.6,157.18,-5.58,5.58,14.004999107461591,3.0,5.0,8.0,95.0,50,0,0,0,0,0,0,free_all_veh_000918,109.0,204.0,-95.0,0.0,10000.0,J17;J21;J22,1.0
free_all,11c3be71c875,-E19 -> -E16 -> -E17,-E19,-E17,3,50,69.46,74.6,-5.14,5.58,13.81231334715514,4.0,6.0,6.0,93.0,40,9,0,0,0,0,0,free_all_veh_000235,26.0,119.0,-93.0,0.0,10000.0,,0.0
free_all,a9fb59fe185d,-E2 -> -E13 -> -E14,-E2,-E14,3,50,54.68,60.12,-5.44,5.44,5.837807807730569,5.5,7.0,8.0,14.0,50,0,0,0,0,0,0,free_all_veh_000916,26.0,40.0,-14.0,0.0,10000.0,J21;J22,1.0
free_all,bc9c2e0fd984,E18 -> E11 -> -E12 -> -E14,E18,-E14,4,50,150.5,155.92,-5.42,5.42,5.544366510251645,5.0,7.0,8.0,8.0,50,0,0,0,0,0,0,free_all_veh_000364,195.0,203.0,-8.0,0.0,10000.0,J17;J21,1.0
free_all,3f8e372d6db5,E14 -> E20 -> E19,E14,E19,3,50,95.36,100.66,-5.3,5.3,5.420332093147061,5.0,7.0,7.0,8.0,50,0,0,0,0,0,0,free_all_veh_000873,135.0,143.0,-8.0,0.0,10000.0,J21,1.0
free_all,250f0d385d96,-E3 -> E4,-E3,E4,2,50,44.24,46.82,-2.58,5.1,9.82344135219425,4.0,6.0,7.0,63.0,49,1,0,0,0,0,0,free_all_veh_000969,86.0,23.0,63.0,0.0,10000.0,,0.0
free_all,bb0c3598f044,-E19 -> E15 -> E4,-E19,E4,3,50,86.0,90.9,-4.9,4.9,4.973932046178355,5.0,6.0,6.0,8.0,50,0,0,0,0,0,0,free_all_veh_001302,118.0,126.0,-8.0,0.0,10000.0,,0.0
free_all,8522097d81df,E17 -> E11 -> -E10,E17,-E10,3,50,113.0,117.9,-4.9,4.9,4.985980344927164,5.0,6.0,6.0,8.0,50,0,0,0,0,0,0,free_all_veh_000899,89.0,97.0,-8.0,0.0,10000.0,J17,1.0
